캠페인 이름,캠페인 ID,기간,캠페인 목적,캠페인 예산,총비용,노출수,클릭수,평균 CPC,클릭률(%),구매완료 수,장바구니 담기 수,구매완료 전환매출액,장바구니 전환매출액,총 전환율(%),총 전환당비용,총 광고수익률(%),구매완료 광고수익률(%)
커뮤니케이션애드_7/5~7/18,668627,2024.07.13.,인지도 및 트래픽,330000,4629,8688,16,289,0.18,0,0,0,0,0,0,0,0
커뮤니케이션애드_7/5~7/18,668627,2024.07.12.,인지도 및 트래픽,330000,5930,11756,20,296,0.17,0,0,0,0,0,0,0,0
커뮤니케이션애드_7/5~7/18,668627,2024.07.11.,인지도 및 트래픽,330000,14298,27205,48,298,0.18,0,0,0,0,0,0,0,0
커뮤니케이션애드_7/5~7/18,668627,2024.07.10.,인지도 및 트래픽,330000,12500,28981,45,278,0.16,1,7,396000,0,17.78,1562,3168.06,3168.06
커뮤니케이션애드_7/5~7/18,668627,2024.07.09.,인지도 및 트래픽,330000,18056,46049,66,274,0.14,1,0,305400,0,1.52,18056,1691.43,1691.43
커뮤니케이션애드_7/5~7/18,668627,2024.07.08.,인지도 및 트래픽,330000,25145,49143,92,273,0.19,0,0,0,0,0,0,0,0
커뮤니케이션애드_7/5~7/18,668627,2024.07.07.,인지도 및 트래픽,330000,16644,32221,62,268,0.19,0,0,0,0,0,0,0,0
커뮤니케이션애드_7/5~7/18,668627,2024.07.06.,인지도 및 트래픽,330000,11810,19055,47,251,0.25,0,0,0,0,0,0,0,0
커뮤니케이션애드_7/5~7/18,668627,2024.07.05.,인지도 및 트래픽,330000,2883,3988,12,240,0.3,0,0,0,0,0,0,0,0
002. 요기보_ 카탈로그,667686,2024.08.31.,카탈로그 판매,10000000,17870,1294,53,337,4.1,1,2,345550,0,5.66,5957,1933.63,1933.63
002. 요기보_ 카탈로그,667686,2024.08.30.,카탈로그 판매,10000000,8034,502,23,349,4.58,0,1,0,0,4.35,8034,0,0
002. 요기보_ 카탈로그,667686,2024.08.29.,카탈로그 판매,10000000,0,0,0,0,0,1,2,142500,0,0,0,0,0
002. 요기보_ 카탈로그,667686,2024.08.28.,카탈로그 판매,10000000,0,0,0,0,0,1,1,38800,0,0,0,0,0
002. 요기보_ 카탈로그,667686,2024.08.27.,카탈로그 판매,10000000,386,1,1,386,100,0,0,0,0,0,0,0,0
002. 요기보_ 카탈로그,667686,2024.08.26.,카탈로그 판매,10000000,4003,438,9,445,2.05,0,3,0,0,33.33,1334,0,0
002. 요기보_ 카탈로그,667686,2024.08.25.,카탈로그 판매,10000000,17249,1466,44,392,3,1,7,278000,0,18.18,2156,1611.71,1611.71
002. 요기보_ 카탈로그,667686,2024.08.24.,카탈로그 판매,10000000,17347,1562,40,434,2.56,0,0,0,0,0,0,0,0
002. 요기보_ 카탈로그,667686,2024.08.23.,카탈로그 판매,10000000,16054,1615,33,486,2.04,0,0,0,0,0,0,0,0
002. 요기보_ 카탈로그,667686,2024.08.22.,카탈로그 판매,10000000,17462,1549,37,472,2.39,3,0,372000,0,8.11,5821,2130.37,2130.37
002. 요기보_ 카탈로그,667686,2024.08.21.,카탈로그 판매,10000000,17872,1619,47,380,2.9,1,3,29800,0,8.51,4468,166.74,166.74
002. 요기보_ 카탈로그,667686,2024.08.20.,카탈로그 판매,10000000,17772,1710,46,386,2.69,1,6,94000,0,15.22,2539,528.91,528.91
002. 요기보_ 카탈로그,667686,2024.08.19.,카탈로그 판매,10000000,26253,2365,56,469,2.37,0,4,0,0,7.14,6563,0,0
002. 요기보_ 카탈로그,667686,2024.08.18.,카탈로그 판매,10000000,26146,1818,41,638,2.26,0,0,0,0,0,0,0,0
002. 요기보_ 카탈로그,667686,2024.08.17.,카탈로그 판매,10000000,25910,1786,38,682,2.13,0,0,0,0,0,0,0,0
002. 요기보_ 카탈로그,667686,2024.08.16.,카탈로그 판매,10000000,23966,1973,34,705,1.72,0,6,0,0,17.65,3994,0,0
002. 요기보_ 카탈로그,667686,2024.08.15.,카탈로그 판매,10000000,25288,1407,40,632,2.84,0,2,0,0,5,12644,0,0
002. 요기보_ 카탈로그,667686,2024.08.14.,카탈로그 판매,10000000,23882,2068,39,612,1.89,0,0,0,0,0,0,0,0
002. 요기보_ 카탈로그,667686,2024.08.13.,카탈로그 판매,10000000,23182,1892,45,515,2.38,0,2,0,0,4.44,11591,0,0
002. 요기보_ 카탈로그,667686,2024.08.12.,카탈로그 판매,10000000,22259,1746,37,602,2.12,0,1,0,0,2.7,22259,0,0
002. 요기보_ 카탈로그,667686,2024.08.11.,카탈로그 판매,10000000,20875,1047,23,908,2.2,0,1,0,0,4.35,20875,0,0
002. 요기보_ 카탈로그,667686,2024.08.10.,카탈로그 판매,10000000,20741,1157,33,629,2.85,0,1,0,0,3.03,20741,0,0
002. 요기보_ 카탈로그,667686,2024.08.09.,카탈로그 판매,10000000,22414,729,19,1180,2.61,1,3,15800,0,21.05,5603,70.49,70.49
002. 요기보_ 카탈로그,667686,2024.08.08.,카탈로그 판매,10000000,0,25,0,0,0,0,0,0,0,0,0,0,0
